#Gene          	Label     	Location                      	Source    	Strand    
A1CF           	CD        	chr10:50799421-50885675       	CGC_v.96  	neg       
LZTR1          	CD        	chr22:20982013-20999038       	CGC_v.96  	pos       
MACC1          	CD        	chr7:20134655-20217390        	CGC_v.96  	neg       
MAF            	CD        	chr16:79593838-79600714       	CGC_v.96  	neg       
MAFB           	CD        	chr20:40685848-40689240       	CGC_v.96  	neg       
MALAT1         	CD        	chr11:65497762-65506469       	CGC_v.96  	pos       
MALT1          	CD        	chr18:58671386-58754477       	CGC_v.96  	pos       
MAML2          	CD        	chr11:95976598-96343180       	CGC_v.96  	neg       
MAP2K1         	CD        	chr15:66386817-66492312       	CGC_v.96  	pos       
MAP2K2         	CD        	chr19:4090321-4124129         	CGC_v.96  	neg       
MAP2K4         	CD        	chr17:12020834-12143830       	CGC_v.96  	pos       
MAP3K1         	CD        	chr5:56815574-56896152        	CGC_v.96  	pos       
MAP3K13        	CD        	chr3:185363120-185489097      	CGC_v.96  	pos       
MAPK1          	CD        	chr22:21754500-21867629       	CGC_v.96  	neg       
MAX            	CD        	chr14:65075544-65102470       	CGC_v.96  	neg       
MB21D2         	CD        	chr3:192796815-192918161      	CGC_v.96  	neg       
MDM2           	CD        	chr12:68808176-68850686       	CGC_v.96  	pos       
MDM4           	CD        	chr1:204516383-204558120      	CGC_v.96  	pos       
MDS2           	CD        	chr1:23581495-23640568        	CGC_v.96  	pos       
MECOM          	CD        	chr3:169083499-169146305      	CGC_v.96  	neg       
MED12          	CD        	chrX:71118723-71142447        	CGC_v.96  	pos       
MEN1           	CD        	chr11:64803524-64811294       	CGC_v.96  	neg       
MET            	CD        	chr7:116672405-116796342      	CGC_v.96  	pos       
MGMT           	CD        	chr10:129467184-129768007     	CGC_v.96  	pos       
MITF           	CD        	chr3:69739435-69968336        	CGC_v.96  	pos       
MLF1           	CD        	chr3:158582835-158606459      	CGC_v.96  	pos       
MLH1           	CD        	chr3:36993332-37050918        	CGC_v.96  	pos       
MLLT1          	CD        	chr19:6210379-6279948         	CGC_v.96  	neg       
MLLT10         	CD        	chr10:21534343-21743630       	CGC_v.96  	pos       
MLLT11         	CD        	chr1:151057758-151068497      	CGC_v.96  	pos       
MLLT3          	CD        	chr9:20341665-20622543        	CGC_v.96  	neg       
MLLT6          	CD        	chr17:38705542-38729803       	CGC_v.96  	pos       
MN1            	CD        	chr22:27748277-27801498       	CGC_v.96  	neg       
MNX1           	CD        	chr7:157004853-157010651      	CGC_v.96  	neg       
MPL            	CD        	chr1:43337849-43352772        	CGC_v.96  	pos       
MRTFA          	CD        	chr22:40411390-40533635       	CGC_v.96  	neg       
MSH2           	CD        	chr2:47402969-47483228        	CGC_v.96  	pos       
MSH6           	CD        	chr2:47783082-47810101        	CGC_v.96  	neg       
MSI2           	CD        	chr17:57256534-57684685       	CGC_v.96  	pos       
MSN            	CD        	chrX:65667670-65741931        	CGC_v.96  	pos       
MTCP1          	CD        	chrX:155064034-155071226      	CGC_v.96  	neg       
MTOR           	CD        	chr1:11106535-11262507        	CGC_v.96  	neg       
MUC1           	CD        	chr1:155185826-155192915      	CGC_v.96  	neg       
MUC16          	CD        	chr19:8848844-8981342         	CGC_v.96  	neg       
MUC4           	CD        	chr3:195746765-195812277      	CGC_v.96  	neg       
MUTYH          	CD        	chr1:45329242-45340388        	CGC_v.96  	neg       
MYB            	CD        	chr6:135181315-135219167      	CGC_v.96  	pos       
MYC            	CD        	chr8:127736069-127741434      	CGC_v.96  	pos       
MYCL           	CD        	chr1:39895426-39902013        	CGC_v.96  	neg       
MYCN           	CD        	chr2:15940564-15947007        	CGC_v.96  	pos       
MYD88          	CD        	chr3:38138478-38143019        	CGC_v.96  	pos       
MYH11          	CD        	chr16:15703172-15857011       	CGC_v.96  	neg       
MYH9           	CD        	chr22:36281277-36388067       	CGC_v.96  	neg       
MYO5A          	CD        	chr15:52307283-52529050       	CGC_v.96  	neg       
MYOD1          	CD        	chr11:17719568-17722131       	CGC_v.96  	pos       
N4BP2          	CD        	chr4:40056826-40158252        	CGC_v.96  	pos       
NAB2           	CD        	chr12:57088894-57095476       	CGC_v.96  	neg       
NACA           	CD        	chr12:56712433-56725299       	CGC_v.96  	neg       
NBEA           	CD        	chr13:34942287-35672735       	CGC_v.96  	pos       
NBN            	CD        	chr8:89933336-89984716        	CGC_v.96  	neg       
NCKIPSD        	CD        	chr3:48673844-48685927        	CGC_v.96  	neg       
NCOA1          	CD        	chr2:24491932-24770702        	CGC_v.96  	pos       
NCOA2          	CD        	chr8:70109762-70403805        	CGC_v.96  	neg       
NCOA4          	CD        	chr10:46006412-46030607       	CGC_v.96  	neg       
NCOR1          	CD        	chr17:16029157-16215549       	CGC_v.96  	neg       
NCOR2          	CD        	chr12:124324415-124495252     	CGC_v.96  	neg       
NDRG1          	CD        	chr8:133237176-133297586      	CGC_v.96  	neg       
NF1            	CD        	chr17:31094927-31377677       	CGC_v.96  	pos       
NF2            	CD        	chr22:29603558-29698598       	CGC_v.96  	pos       
NFATC2         	CD        	chr20:51386957-51542719       	CGC_v.96  	neg       
NFE2L2         	CD        	chr2:177230305-177265131      	CGC_v.96  	neg       
NFIB           	CD        	chr9:14087569-14313667        	CGC_v.96  	neg       
NFKB2          	CD        	chr10:102394597-102402524     	CGC_v.96  	pos       
NFKBIE         	CD        	chr6:44258166-44265788        	CGC_v.96  	neg       
NIN            	CD        	chr14:50725840-50831121       	CGC_v.96  	neg       
NKX2-1         	CD        	chr14:36516392-36520228       	CGC_v.96  	neg       
NONO           	CD        	chrX:71283583-71301168        	CGC_v.96  	pos       
NOTCH1         	CD        	chr9:136494433-136545786      	CGC_v.96  	neg       
NOTCH2         	CD        	chr1:119911553-120069626      	CGC_v.96  	neg       
NPM1           	CD        	chr5:171387648-171411137      	CGC_v.96  	pos       
NR4A3          	CD        	chr9:99821855-99866891        	CGC_v.96  	pos       
NRAS           	CD        	chr1:114704469-114716894      	CGC_v.96  	neg       
NRG1           	CD        	chr8:32548635-32764407        	CGC_v.96  	pos       
NSD1           	CD        	chr5:177133925-177300215      	CGC_v.96  	pos       
NSD2           	CD        	chr4:1892845-1982207          	CGC_v.96  	pos       
NSD3           	CD        	chr8:38269697-38382272        	CGC_v.96  	neg       
NT5C2          	CD        	chr10:103088018-103193306     	CGC_v.96  	neg       
NTHL1          	CD        	chr16:2039815-2047866         	CGC_v.96  	neg       
NTRK1          	CD        	chr1:156860894-156881642      	CGC_v.96  	pos       
NTRK3          	CD        	chr15:87876757-88256731       	CGC_v.96  	neg       
NUMA1          	CD        	chr11:72002864-72080687       	CGC_v.96  	neg       
NUP214         	CD        	chr9:131125561-131234670      	CGC_v.96  	pos       
NUP98          	CD        	chr11:3675010-3797792         	CGC_v.96  	neg       
NUTM1          	CD        	chr15:34343315-34357728       	CGC_v.96  	pos       
NUTM2B         	CD        	chr10:79703227-79712757       	CGC_v.96  	pos       
NUTM2D         	CD        	chr10:87357668-87367195       	CGC_v.96  	pos       
OLIG2          	CD        	chr21:33025935-33029196       	CGC_v.96  	pos       
OMD            	CD        	chr9:92414245-92424461        	CGC_v.96  	neg       
P2RY8          	CD        	chrX:1462572-1537107          	CGC_v.96  	neg       
PABPC1         	CD        	chr8:100702916-100722712      	CGC_v.96  	neg       
PAFAH1B2       	CD        	chr11:117144267-117171048     	CGC_v.96  	pos       
PALB2          	CD        	chr16:23603170-23641310       	CGC_v.96  	neg       
PATZ1          	CD        	chr22:31325804-31346232       	CGC_v.96  	neg       
PAX3           	CD        	chr2:222199888-222298981      	CGC_v.96  	neg       
PAX5           	CD        	chr9:36833275-37034185        	CGC_v.96  	neg       
PAX7           	CD        	chr1:18631006-18736138        	CGC_v.96  	pos       
PAX8           	CD        	chr2:113215997-113278921      	CGC_v.96  	neg       
PBRM1          	CD        	chr3:52547841-52685836        	CGC_v.96  	neg       
PBX1           	CD        	chr1:164559635-164851831      	CGC_v.96  	pos       
PCBP1          	CD        	chr2:70087454-70089203        	CGC_v.96  	pos       
PCM1           	CD        	chr8:17922840-18027968        	CGC_v.96  	pos       
PDCD1LG2       	CD        	chr9:5510570-5571254          	CGC_v.96  	pos       
PDE4DIP        	CD        	chr1:148889463-149033016      	CGC_v.96  	pos       
PDGFB          	CD        	chr22:39223359-39244751       	CGC_v.96  	neg       
PDGFRA         	CD        	chr4:54229097-54298247        	CGC_v.96  	pos       
PDGFRB         	CD        	chr5:150113837-150155860      	CGC_v.96  	neg       
PER1           	CD        	chr17:8140472-8152435         	CGC_v.96  	neg       
PHF6           	CD        	chrX:134373312-134428789      	CGC_v.96  	pos       
PHOX2B         	CD        	chr4:41744082-41748970        	CGC_v.96  	neg       
PICALM         	CD        	chr11:85958814-86068929       	CGC_v.96  	neg       
PIK3CA         	CD        	chr3:179148523-179240093      	CGC_v.96  	pos       
PIK3CB         	CD        	chr3:138652699-138759359      	CGC_v.96  	neg       
PIK3R1         	CD        	chr5:68215720-68301821        	CGC_v.96  	pos       
PIM1           	CD        	chr6:37170203-37175426        	CGC_v.96  	pos       
PLAG1          	CD        	chr8:56160904-56211279        	CGC_v.96  	neg       
PLCG1          	CD        	chr20:41136960-41175721       	CGC_v.96  	pos       
PML            	CD        	chr15:73994717-74046771       	CGC_v.96  	pos       
PMS1           	CD        	chr2:189784381-189877629      	CGC_v.96  	pos       
PMS2           	CD        	chr7:5973239-6009125          	CGC_v.96  	neg       
POLD1          	CD        	chr19:50384340-50418010       	CGC_v.96  	pos       
POLE           	CD        	chr12:132623762-132687359     	CGC_v.96  	neg       
POLG           	CD        	chr15:89316305-89334847       	CGC_v.96  	neg       
POLQ           	CD        	chr3:121431431-121546006      	CGC_v.96  	neg       
POLR2A         	CD        	chr17:7484620-7499758         	CGC_v.96  	pos       
POT1           	CD        	chr7:124822386-124929981      	CGC_v.96  	neg       
POU2AF1        	CD        	chr11:111352252-111379692     	CGC_v.96  	neg       
POU5F1         	CD        	chr6:31164337-31170693        	CGC_v.96  	neg       
PPARG          	CD        	chr3:12351472-12434356        	CGC_v.96  	pos       
PPFIBP1        	CD        	chr12:27524206-27695564       	CGC_v.96  	pos       
PPM1D          	CD        	chr17:60600183-60666280       	CGC_v.96  	pos       
PPP2R1A        	CD        	chr19:52190039-52229533       	CGC_v.96  	pos       
PPP6C          	CD        	chr9:125146574-125189939      	CGC_v.96  	neg       
PRCC           	CD        	chr1:156767500-156800817      	CGC_v.96  	pos       
PRDM1          	CD        	chr6:106086320-106109938      	CGC_v.96  	pos       
PRDM16         	CD        	chr1:3069211-3438621          	CGC_v.96  	pos       
PRDM2          	CD        	chr1:13704855-13825079        	CGC_v.96  	pos       
PREX2          	CD        	chr8:67952118-68237030        	CGC_v.96  	pos       
PRF1           	CD        	chr10:70597349-70602775       	CGC_v.96  	neg       
PRKACA         	CD        	chr19:14091688-14117744       	CGC_v.96  	neg       
PRKAR1A        	CD        	chr17:68512379-68533423       	CGC_v.96  	pos       
PRKCB          	CD        	chr16:23835983-24220611       	CGC_v.96  	pos       
PRKD1          	CD        	chr14:29576942-29927642       	CGC_v.96  	neg       
PRPF40B        	CD        	chr12:49623436-49644665       	CGC_v.96  	pos       
PRRX1          	CD        	chr1:170663906-170739419      	CGC_v.96  	pos       
PSIP1          	CD        	chr9:15464066-15511019        	CGC_v.96  	neg       
PTCH1          	CD        	chr9:95442980-95508661        	CGC_v.96  	neg       
PTEN           	CD        	chr10:87863113-87971930       	CGC_v.96  	pos       
PTK6           	CD        	chr20:63528001-63537354       	CGC_v.96  	neg       
PTPN11         	CD        	chr12:112419112-112504764     	CGC_v.96  	pos       
PTPN13         	CD        	chr4:86594315-86815171        	CGC_v.96  	pos       
PTPN6          	CD        	chr12:6951271-6961316         	CGC_v.96  	pos       
PTPRB          	CD        	chr12:70515866-70637440       	CGC_v.96  	neg       
PTPRC          	CD        	chr1:198639007-198757476      	CGC_v.96  	pos       
PTPRD          	CD        	chr9:8314246-10033790         	CGC_v.96  	neg       
PTPRK          	CD        	chr6:127968977-128520476      	CGC_v.96  	neg       
PTPRT          	CD        	chr20:42072752-43189969       	CGC_v.96  	neg       
PWWP2A         	CD        	chr5:160091339-160119423      	CGC_v.96  	neg       
QKI            	CD        	chr6:163414643-163578596      	CGC_v.96  	pos       
RABEP1         	CD        	chr17:5282300-5385812         	CGC_v.96  	pos       
RAC1           	CD        	chr7:6374539-6402520          	CGC_v.96  	pos       
RAD17          	CD        	chr5:69369806-69414801        	CGC_v.96  	pos       
RAD21          	CD        	chr8:116845935-116874866      	CGC_v.96  	neg       
RAD51B         	CD        	chr14:67819779-68611565       	CGC_v.96  	pos       
RAF1           	CD        	chr3:12583601-12664226        	CGC_v.96  	neg       
RALGDS         	CD        	chr9:133097720-133121176      	CGC_v.96  	neg       
RANBP2         	CD        	chr2:108719481-108785811      	CGC_v.96  	pos       
RAP1GDS1       	CD        	chr4:98261518-98442334        	CGC_v.96  	pos       
RARA           	CD        	chr17:40309194-40356796       	CGC_v.96  	pos       
RB1            	CD        	chr13:48303726-48481890       	CGC_v.96  	pos       
RBM10          	CD        	chrX:47145447-47186812        	CGC_v.96  	pos       
RBM15          	CD        	chr1:110338506-110346677      	CGC_v.96  	pos       
RECQL4         	CD        	chr8:144511291-144517826      	CGC_v.96  	neg       
REL            	CD        	chr2:60881521-60931610        	CGC_v.96  	pos       
RET            	CD        	chr10:43077027-43130351       	CGC_v.96  	pos       
RFWD3          	CD        	chr16:74621394-74666881       	CGC_v.96  	neg       
RGPD3          	CD        	chr2:106404990-106468376      	CGC_v.96  	neg       
RGS7           	CD        	chr1:240775515-241357230      	CGC_v.96  	neg       
RHOA           	CD        	chr3:49359145-49412202        	CGC_v.96  	neg       
RHOH           	CD        	chr4:40196907-40246967        	CGC_v.96  	pos       
RMI2           	CD        	chr16:11345431-11351762       	CGC_v.96  	pos       
RNF213         	CD        	chr17:80260868-80398786       	CGC_v.96  	pos       
RNF43          	CD        	chr17:58353676-58417533       	CGC_v.96  	neg       
ROBO2          	CD        	chr3:75906695-77647510        	CGC_v.96  	pos       
ROS1           	CD        	chr6:117288300-117425855      	CGC_v.96  	neg       
RPL10          	CD        	chrX:154398230-154402339      	CGC_v.96  	pos       
RPL22          	CD        	chr1:6185020-6199612          	CGC_v.96  	neg       
RPL5           	CD        	chr1:92831983-92841924        	CGC_v.96  	pos       
RPN1           	CD        	chr3:128619970-128650849      	CGC_v.96  	neg       
RSPO2          	CD        	chr8:107899317-108083648      	CGC_v.96  	neg       
RSPO3          	CD        	chr6:127118604-127197296      	CGC_v.96  	pos       
RUNX1          	CD        	chr21:34787801-35049344       	CGC_v.96  	neg       
RUNX1T1        	CD        	chr8:91954967-92095654        	CGC_v.96  	neg       
S100A7         	CD        	chr1:153457744-153460701      	CGC_v.96  	neg       
SALL4          	CD        	chr20:51782331-51802520       	CGC_v.96  	neg       
SBDS           	CD        	chr7:66987677-66995601        	CGC_v.96  	neg       
SDC4           	CD        	chr20:45325288-45348424       	CGC_v.96  	neg       
SDHA           	CD        	chr5:218241-256700            	CGC_v.96  	pos       
SDHAF2         	CD        	chr11:61430073-61447529       	CGC_v.96  	pos       
SDHB           	CD        	chr1:17018722-17054170        	CGC_v.96  	neg       
SDHC           	CD        	chr1:161314257-161375340      	CGC_v.96  	pos       
SDHD           	CD        	chr11:112086773-112095794     	CGC_v.96  	pos       
SEPTIN5        	CD        	chr22:19714464-19723319       	CGC_v.96  	pos       
SEPTIN6        	CD        	chrX:119617639-119693370      	CGC_v.96  	neg       
SEPTIN9        	CD        	chr17:77281410-77500592       	CGC_v.96  	pos       
SET            	CD        	chr9:128683655-128696400      	CGC_v.96  	pos       
SETBP1         	CD        	chr18:44680898-45068510       	CGC_v.96  	pos       
SETD1B         	CD        	chr12:121804180-121830239     	CGC_v.96  	pos       
SETD2          	CD        	chr3:47016689-47163967        	CGC_v.96  	neg       
SETDB1         	CD        	chr1:150926339-150964735      	CGC_v.96  	pos       
SF3B1          	CD        	chr2:197389784-197435091      	CGC_v.96  	neg       
SFPQ           	CD        	chr1:35182932-35193148        	CGC_v.96  	neg       
SFRP4          	CD        	chr7:37905932-37916915        	CGC_v.96  	neg       
SGK1           	CD        	chr6:134169246-134318058      	CGC_v.96  	neg       
SH2B3          	CD        	chr12:111405948-111451623     	CGC_v.96  	pos       
SH3GL1         	CD        	chr19:4360370-4400547         	CGC_v.96  	neg       
SHTN1          	CD        	chr10:116883377-117005577     	CGC_v.96  	neg       
SIRPA          	CD        	chr20:1894508-1940592         	CGC_v.96  	pos       
SIX1           	CD        	chr14:60643415-60649462       	CGC_v.96  	neg       
SIX2           	CD        	chr2:45005161-45009430        	CGC_v.96  	neg       
SKI            	CD        	chr1:2228695-2310119          	CGC_v.96  	pos       
SLC34A2        	CD        	chr4:25655844-25678748        	CGC_v.96  	pos       
SLC45A3        	CD        	chr1:205657851-205680459      	CGC_v.96  	neg       
SMAD2          	CD        	chr18:47808957-47930559       	CGC_v.96  	neg       
SMAD3          	CD        	chr15:67065845-67195195       	CGC_v.96  	pos       
SMAD4          	CD        	chr18:51030213-51085039       	CGC_v.96  	pos       
SMARCA4        	CD        	chr19:10960825-11062282       	CGC_v.96  	pos       
SMARCB1        	CD        	chr22:23786963-23834505       	CGC_v.96  	pos       
SMARCD1        	CD        	chr12:50084972-50100712       	CGC_v.96  	pos       
SMARCE1        	CD        	chr17:40624962-40648864       	CGC_v.96  	neg       
SMC1A          	CD        	chrX:53374149-53422728        	CGC_v.96  	neg       
SMO            	CD        	chr7:129188872-129213545      	CGC_v.96  	pos       
SND1           	CD        	chr7:127652180-128092607      	CGC_v.96  	pos       
SNX29          	CD        	chr16:11976738-12574289       	CGC_v.96  	pos       
SOCS1          	CD        	chr16:11254417-11256200       	CGC_v.96  	neg       
SOX2           	CD        	chr3:181711924-181714436      	CGC_v.96  	pos       
SOX21          	CD        	chr13:94709622-94712399       	CGC_v.96  	neg       
SPECC1         	CD        	chr17:20087022-20314755       	CGC_v.96  	pos       
SPEN           	CD        	chr1:15847864-15940460        	CGC_v.96  	pos       
SPOP           	CD        	chr17:49598884-49678110       	CGC_v.96  	neg       
SRC            	CD        	chr20:37346154-37406050       	CGC_v.96  	pos       
SRGAP3         	CD        	chr3:8980591-9249379          	CGC_v.96  	neg       
SRSF2          	CD        	chr17:76734115-76737333       	CGC_v.96  	neg       
SRSF3          	CD        	chr6:36594368-36605600        	CGC_v.96  	pos       
SS18           	CD        	chr18:26016253-26090625       	CGC_v.96  	neg       
SS18L1         	CD        	chr20:62143795-62182484       	CGC_v.96  	pos       
SSX1           	CD        	chrX:48255317-48267444        	CGC_v.96  	pos       
SSX2           	CD        	chrX:52696896-52707161        	CGC_v.96  	neg       
SSX4           	CD        	chrX:48383527-48393347        	CGC_v.96  	pos       
STAG1          	CD        	chr3:136336233-136752368      	CGC_v.96  	neg       
STAG2          	CD        	chrX:123960519-124101498      	CGC_v.96  	pos       
STAT3          	CD        	chr17:42313324-42388568       	CGC_v.96  	neg       
STAT5B         	CD        	chr17:42199168-42276406       	CGC_v.96  	neg       
STAT6          	CD        	chr12:57095408-57111433       	CGC_v.96  	neg       
STIL           	CD        	chr1:47250142-47314140        	CGC_v.96  	neg       
STK11          	CD        	chr19:1206464-1228435         	CGC_v.96  	pos       
STRN           	CD        	chr2:36843640-36966472        	CGC_v.96  	neg       
SUFU           	CD        	chr10:102503987-102633535     	CGC_v.96  	pos       
SUZ12          	CD        	chr17:31937018-32001045       	CGC_v.96  	pos       
SYK            	CD        	chr9:90801787-90898549        	CGC_v.96  	pos       
TAF15          	CD        	chr17:35809455-35847242       	CGC_v.96  	pos       
TAL1           	CD        	chr1:47216292-47229771        	CGC_v.96  	neg       
TAL2           	CD        	chr9:105662457-105663112      	CGC_v.96  	pos       
TBL1XR1        	CD        	chr3:177019355-177196478      	CGC_v.96  	neg       
TBX3           	CD        	chr12:114670255-114683590     	CGC_v.96  	neg       
TCEA1          	CD        	chr8:53966556-54022529        	CGC_v.96  	neg       
TCF12          	CD        	chr15:56918623-57288514       	CGC_v.96  	pos       
TCF3           	CD        	chr19:1609290-1652329         	CGC_v.96  	neg       
TCF7L2         	CD        	chr10:112950407-113167493     	CGC_v.96  	pos       
TCL1A          	CD        	chr14:95709968-95714196       	CGC_v.96  	neg       
TEC            	CD        	chr4:48135783-48269864        	CGC_v.96  	neg       
TENT5C         	CD        	chr1:117605934-117628372      	CGC_v.96  	pos       
TERT           	CD        	chr5:1253167-1295047          	CGC_v.96  	neg       
TET1           	CD        	chr10:68560656-68694482       	CGC_v.96  	pos       
TET2           	CD        	chr4:105146293-105279816      	CGC_v.96  	pos       
TFE3           	CD        	chrX:49028731-49043486        	CGC_v.96  	neg       
TFEB           	CD        	chr6:41683978-41736259        	CGC_v.96  	neg       
TFG            	CD        	chr3:100709425-100748966      	CGC_v.96  	pos       
TFPT           	CD        	chr19:54107013-54115675       	CGC_v.96  	neg       
TFRC           	CD        	chr3:196049284-196082189      	CGC_v.96  	neg       
TGFBR2         	CD        	chr3:30606601-30694142        	CGC_v.96  	pos       
THRAP3         	CD        	chr1:36224416-36305357        	CGC_v.96  	pos       
TLX1           	CD        	chr10:101130505-101137789     	CGC_v.96  	pos       
TLX3           	CD        	chr5:171309284-171312134      	CGC_v.96  	pos       
TMEM127        	CD        	chr2:96248516-96265994        	CGC_v.96  	neg       
TMPRSS2        	CD        	chr21:41464553-41508065       	CGC_v.96  	neg       
TMSB4X         	CD        	chrX:12975110-12977226        	CGC_v.96  	pos       
TNC            	CD        	chr9:115020534-115118257      	CGC_v.96  	neg       
TNFAIP3        	CD        	chr6:137867188-137883311      	CGC_v.96  	pos       
TNFRSF14       	CD        	chr1:2556366-2563829          	CGC_v.96  	pos       
TNFRSF17       	CD        	chr16:11965107-11968068       	CGC_v.96  	pos       
TOP1           	CD        	chr20:41028818-41124487       	CGC_v.96  	pos       
TP53           	CD        	chr17:7668402-7687538         	CGC_v.96  	neg       
TP63           	CD        	chr3:189631427-189897279      	CGC_v.96  	pos       
TPM3           	CD        	chr1:154167465-154192211      	CGC_v.96  	neg       
TPM4           	CD        	chr19:16067538-16102943       	CGC_v.96  	pos       
TPR            	CD        	chr1:186311652-186375325      	CGC_v.96  	neg       
TRAF7          	CD        	chr16:2155765-2178129         	CGC_v.96  	pos       
TRIM24         	CD        	chr7:138460334-138589993      	CGC_v.96  	pos       
TRIM27         	CD        	chr6:28903002-28923989        	CGC_v.96  	neg       
TRIM33         	CD        	chr1:114392777-114511160      	CGC_v.96  	neg       
TRIP11         	CD        	chr14:91965991-92040059       	CGC_v.96  	neg       
TRRAP          	CD        	chr7:98878490-99013243        	CGC_v.96  	pos       
TSC1           	CD        	chr9:132891348-132944633      	CGC_v.96  	neg       
TSC2           	CD        	chr16:2047465-2088720         	CGC_v.96  	pos       
TSHR           	CD        	chr14:80955043-81146302       	CGC_v.96  	pos       
U2AF1          	CD        	chr21:43092956-43107587       	CGC_v.96  	neg       
UBR5           	CD        	chr8:102253012-102412841      	CGC_v.96  	neg       
USP44          	CD        	chr12:95516560-95551490       	CGC_v.96  	neg       
USP6           	CD        	chr17:5116438-5174991         	CGC_v.96  	pos       
USP8           	CD        	chr15:50424382-50514419       	CGC_v.96  	pos       
USP9X          	CD        	chrX:41085635-41236579        	CGC_v.96  	pos       
VAV1           	CD        	chr19:6772726-6857107         	CGC_v.96  	pos       
VHL            	CD        	chr3:10141008-10152220        	CGC_v.96  	pos       
VTI1A          	CD        	chr10:112447258-112818744     	CGC_v.96  	pos       
WAS            	CD        	chrX:48683779-48691427        	CGC_v.96  	pos       
WDCP           	CD        	chr2:24029340-24047353        	CGC_v.96  	neg       
WIF1           	CD        	chr12:65050626-65121566       	CGC_v.96  	neg       
WNK2           	CD        	chr9:93184930-93318271        	CGC_v.96  	pos       
WRN            	CD        	chr8:31033801-31173769        	CGC_v.96  	pos       
WT1            	CD        	chr11:32387775-32435630       	CGC_v.96  	neg       
WWTR1          	CD        	chr3:149517235-149703273      	CGC_v.96  	neg       
XPA            	CD        	chr9:97674909-97697357        	CGC_v.96  	neg       
XPC            	CD        	chr3:14145147-14178783        	CGC_v.96  	neg       
XPO1           	CD        	chr2:61477849-61538283        	CGC_v.96  	neg       
YWHAE          	CD        	chr17:1344272-1400378         	CGC_v.96  	neg       
ZBTB16         	CD        	chr11:114059593-114250676     	CGC_v.96  	pos       
ZCCHC8         	CD        	chr12:122472899-122501073     	CGC_v.96  	neg       
ZEB1           	CD        	chr10:31319172-31529813       	CGC_v.96  	pos       
ZFHX3          	CD        	chr16:72782885-73891871       	CGC_v.96  	neg       
ZMYM2          	CD        	chr13:19958670-20091829       	CGC_v.96  	pos       
ZMYM3          	CD        	chrX:71239624-71254140        	CGC_v.96  	neg       
ZNF331         	CD        	chr19:53521024-53580269       	CGC_v.96  	pos       
ZNF384         	CD        	chr12:6666648-6689510         	CGC_v.96  	neg       
ZNF429         	CD        	chr19:21505564-21538078       	CGC_v.96  	pos       
ZNF479         	CD        	chr7:57119614-57139864        	CGC_v.96  	neg       
ZNF521         	CD        	chr18:25061926-25352152       	CGC_v.96  	neg       
ZNRF3          	CD        	chr22:28883592-29057487       	CGC_v.96  	pos       
ZRSR2          	CD        	chrX:15790472-15823260        	CGC_v.96  	pos       
ZNF503         	NG        	chr10:75397830-75401764       	DORGE     	neg       
SSSCA1         	NG        	chr11:65570477-65571888       	DORGE     	pos       
VIM            	NG        	chr10:17228241-17237593       	DORGE     	pos       
C3ORF58        	NG        	chr3:143971823-143992368      	DORGE     	pos       
BMP4           	NG        	chr14:53949736-53956825       	DORGE     	neg       
MID1IP1        	NG        	chrX:38801432-38806528        	DORGE     	pos       
ARSJ           	NG        	chr4:113900284-113979647      	DORGE     	neg       
ERF            	NG        	chr19:42247569-42255128       	DORGE     	neg       
SRF            	NG        	chr6:43171269-43181506        	DORGE     	pos       
SMTN           	NG        	chr22:31081318-31104624       	DORGE     	pos       
MEX3B          	NG        	chr15:82041778-82046018       	DORGE     	neg       
ALOXE3         	NG        	chr17:8096375-8119047         	DORGE     	neg       
NHLRC3         	NG        	chr13:39038456-39050109       	DORGE     	pos       
WRNIP1         	NG        	chr6:2765393-2786952          	DORGE     	pos       
BDNF           	NG        	chr11:27654893-27722058       	DORGE     	neg       
FBN1           	NG        	chr15:48408313-48645709       	DORGE     	neg       
C12ORF23       	NG        	chr12:106955719-106974036     	DORGE     	pos       
THAP9          	NG        	chr4:82900735-82919969        	DORGE     	pos       
INSIG1         	NG        	chr7:155297878-155310235      	DORGE     	pos       
GBA2           	NG        	chr9:35736866-35749228        	DORGE     	neg       
PTMS           	NG        	chr12:6766363-6770952         	DORGE     	pos       
KCTD15         	NG        	chr19:33796862-33813472       	DORGE     	pos       
BASP1          	NG        	chr5:17216823-17276843        	DORGE     	pos       
DRAP1          	NG        	chr11:65919426-65921563       	DORGE     	pos       
TMBIM1         	NG        	chr2:218274197-218292503      	DORGE     	neg       
SPATS2L        	NG        	chr2:200305986-200482263      	DORGE     	pos       
ZBED5          	NG        	chr11:10852704-10858073       	DORGE     	neg       
PRRT2          	NG        	chr16:29812193-29815881       	DORGE     	pos       
FAM198B        	NG        	chr4:158124474-158173025      	DORGE     	neg       
LENG8          	NG        	chr19:54449199-54462016       	DORGE     	pos       
STX10          	NG        	chr19:13144058-13150375       	DORGE     	neg       
PRR12          	NG        	chr19:49591182-49626439       	DORGE     	pos       
RAB35          	NG        	chr12:120095099-120116753     	DORGE     	neg       
AZI2           	NG        	chr3:28321047-28348824        	DORGE     	neg       
TMEM50A        	NG        	chr1:25338334-25362361        	DORGE     	pos       
LARGE          	NG        	chr22:33273077-33922841       	DORGE     	neg       
CLDND2         	NG        	chr19:51367098-51369003       	DORGE     	neg       
